,name,link,price,closest_town,region,zip,coordinates,total_len,easy_len,intermediate_len,difficult_len
321,The Balsams,https://www.skiresort.info/ski-resort/the-balsams/,,Colebrook,New Hampshire,03576,"[-71.44766, 44.893888]",12.6,3.4,4.0,5.2
322,Val Bialas Ski Center – Utica,https://www.skiresort.info/ski-resort/val-bialas-ski-center-utica/,,Utica,Central New York,13502,"[-75.22284, 43.114519]",1.8,0.8,0.4,0.6
323,Yawgoo Valley,https://www.skiresort.info/ski-resort/yawgoo-valley/,50.0,Kingston,Rhode Island,02822,"[-71.60547, 41.563937]",2.5,1.5,1.0,0.0
324,Buffalo Ski Club,https://www.skiresort.info/ski-resort/buffalo-ski-club/,50.0,Buffalo,Greater Niagara,14127,"[-78.75294, 42.759917]",11.0,5.0,4.0,2.0
325,Mount Ski Gull,https://www.skiresort.info/ski-resort/mount-ski-gull/,39.99,Nisswa,Minnesota,56468,"[-94.28917, 46.501623]",2.1,0.7,0.7,0.7
326,Black Mountain – Jackson,https://www.skiresort.info/ski-resort/black-mountain-jackson/,59.0,Jackson,New Hampshire,03846,"[-71.18089, 44.166268]",12.0,6.0,4.0,2.0
327,Big Tupper – Tupper Lake,https://www.skiresort.info/ski-resort/big-tupper-tupper-lake/,,Tupper Lake,The Adirondacks,12986,"[-74.46299, 44.220344]",12.0,5.0,5.0,2.0
328,Buck Hill Ski Area,https://www.skiresort.info/ski-resort/buck-hill-ski-area/,47.0,Minneapolis,Minnesota,55306,"[-93.28909, 44.732569]",2.2,1.2,0.8,0.2
329,Ward Hill – Shrewsbury,https://www.skiresort.info/ski-resort/ward-hill-shrewsbury/,55.0,Shrewsbury,Massachusetts,01545,"[-71.72502, 42.286643]",2.1,0.6,1.0,0.5
330,Devil's Head,https://www.skiresort.info/ski-resort/devils-head/,65.0,Baraboo,Wisconsin,53561,"[-89.69418, 43.37262]",10.0,3.0,3.5,3.5
331,Jack Frost Mountain,https://www.skiresort.info/ski-resort/jack-frost-mountain/,65.0,Blakeslee,Pennsylvania,18610,"[-75.53909, 41.057574]",12.0,6.0,5.5,0.5
332,Canaan Valley,https://www.skiresort.info/ski-resort/canaan-valley/,78.0,Davis,West Virginia,26260,"[-79.43805, 39.101535]",10.0,3.0,4.0,3.0
333,Magic Mountain Resort,https://www.skiresort.info/ski-resort/magic-mountain-resort/,33.0,Kimberly,Idaho,83301-7702,"[-114.47509, 42.530288]",10.5,3.5,3.0,4.0
334,Porcupine Mountain,https://www.skiresort.info/ski-resort/porcupine-mountain/,43.0,Ontonagon,Michigan,49953,"[-89.35119, 46.846455]",9.7,3.2,3.5,3.0
335,Woodbury  (temporarily closed),https://www.skiresort.info/ski-resort/woodbury/,,Woodbury,Connecticut,06798,"[-73.20539, 41.554112]",9.6,3.5,3.5,2.6
336,Warner Canyon – Lakeview,https://www.skiresort.info/ski-resort/warner-canyon-lakeview/,35.0,Lakeview,Oregon,97630,"[-120.42459, 42.199446]",9.9,2.4,1.6,5.9
337,The Whitecap Mountains,https://www.skiresort.info/ski-resort/the-whitecap-mountains/,60.0,Upson,Wisconsin,54565,"[-90.4354, 46.309371]",9.0,4.0,2.0,3.0
338,Blackjack,https://www.skiresort.info/ski-resort/blackjack/,65.0,Ironwood,Michigan,49968,"[-89.91876, 46.466645]",10.0,2.0,4.0,4.0
339,Snow Ridge,https://www.skiresort.info/ski-resort/snow-ridge/,48.0,Turin,The Adirondacks,13473,"[-75.43828, 43.654278]",10.0,2.0,3.0,5.0
340,Indianhead Mountain,https://www.skiresort.info/ski-resort/indianhead-mountain/,65.0,Wakefield,Michigan,49968,"[-89.91876, 46.466645]",10.0,2.0,3.0,5.0
341,Hidden Valley (PA),https://www.skiresort.info/ski-resort/hidden-valley-pa/,69.0,Somerset,Pennsylvania,15502,"[-79.258458, 40.046023]",9.0,4.0,3.0,2.0
342,Cloudcroft,https://www.skiresort.info/ski-resort/cloudcroft/,45.0,Cloudcroft,New Mexico,88317,"[-105.68568, 32.943661]",10.0,4.0,2.0,4.0
343,Sunrise Park,https://www.skiresort.info/ski-resort/sunrise-park/,74.0,Greer,Arizona,85927,"[-109.58336, 33.801744]",,,,
344,Oglebay Resort,https://www.skiresort.info/ski-resort/oglebay-resort/,28.0,,West Virginia,26003,"[-80.6868, 40.071472]",1.0,1.0,0.0,0.0
345,Bottineau Winter Park,https://www.skiresort.info/ski-resort/bottineau-winter-park/,38.0,Bottineau,North Dakota,58318,"[-100.41403, 48.864955]",1.2,0.5,0.5,0.2
346,Denton Hill State Park  (temporarily closed),https://www.skiresort.info/ski-resort/denton-hill-state-park/,,Coudersport,Pennsylvania,16922,"[-77.68562, 41.678935]",8.0,4.0,2.0,2.0
347,Woodward Park City,https://www.skiresort.info/ski-resort/woodward-park-city/,,Summit Park,Salt Lake City,84098,"[-111.53674, 40.726899]",0.5,0.3,0.2,0.0
348,Hickory Ski Center  (temporarily closed),https://www.skiresort.info/ski-resort/hickory-ski-center/,,Warrensburg,The Adirondacks,12885,"[-73.80527, 43.538744]",8.0,3.0,3.0,2.0
349,Toggenburg Ski Center,https://www.skiresort.info/ski-resort/toggenburg-ski-center/,55.0,Fabius,Finger Lakes,13063,"[-75.97818, 42.847248]",8.3,3.2,2.0,3.1
350,Mt. Holly,https://www.skiresort.info/ski-resort/mt-holly/,45.0,Holly,Michigan,48442,"[-83.5968, 42.800191]",7.0,1.0,2.5,3.5
351,Ausblick – Sussex,https://www.skiresort.info/ski-resort/ausblick-sussex/,30.0,Sussex,Wisconsin,53089,"[-88.22641, 43.14004]",1.4,0.8,0.6,0.0
352,Sapphire Valley,https://www.skiresort.info/ski-resort/sapphire-valley/,40.0,Cashiers,North Carolina,28774,"[-83.01052, 35.115467]",0.5,0.5,0.0,0.0
353,Villa Olivia – Bartlett,https://www.skiresort.info/ski-resort/villa-olivia-bartlett/,40.0,Bartlett,Illinois,60103,"[-88.17257, 41.977477]",1.4,0.2,0.6,0.6
354,Silverton Mountain,https://www.skiresort.info/ski-resort/silverton-mountain/,79.0,Silverton,Colorado,81433,"[-107.62223, 37.868294]",,,,
355,Utah Olympic Park,https://www.skiresort.info/ski-resort/utah-olympic-park/,,Park City,Salt Lake City,84098,"[-111.53674, 40.726899]",0.2,0.0,0.2,0.0
356,Beartooth Basin,https://www.skiresort.info/ski-resort/beartooth-basin/,45.0,Red Lodge,Wyoming,59068,"[-109.32217, 45.241761]",5.0,0.0,2.0,3.0
357,Big Snow American Dream (indoor ski area),https://www.skiresort.info/ski-resort/big-snow-american-dream/,,East Rutherford,New Jersey,07073,"[-74.09707, 40.830158]",0.5,0.3,0.2,0.0
358,Welch Village,https://www.skiresort.info/ski-resort/welch-village/,60.0,Red Wing,Minnesota,55089,"[-92.70293, 44.586242]",6.0,2.0,2.0,2.0
359,Titcomb Mountain,https://www.skiresort.info/ski-resort/titcomb-mountain/,24.0,Farmington,Maine,04992,"[-70.153049, 44.662822]",4.4,1.0,1.1,2.3
360,Navarino Hills,https://www.skiresort.info/ski-resort/navarino-hills/,27.0,Navarino,Wisconsin,54170,"[-88.56461, 44.506022]",0.8,0.5,0.3,0.0
361,Lonesome Pine Trails – Fort Kent,https://www.skiresort.info/ski-resort/lonesome-pine-trails-fort-kent/,25.0,Fort Kent,Maine,04743,"[-68.57238, 47.209541]",4.6,1.0,1.6,2.0
362,Sundown,https://www.skiresort.info/ski-resort/sundown/,62.0,New Hartford,Connecticut,06057,"[-73.00492, 41.852712]",5.8,2.7,1.4,1.7
363,Chestnut Mountain,https://www.skiresort.info/ski-resort/chestnut-mountain/,60.0,Dubuque,Illinois,61036,"[-90.39738, 42.400744]",6.0,2.0,3.0,1.0
364,Appalachian Ski Mountain,https://www.skiresort.info/ski-resort/appalachian-ski-mountain/,64.0,Boone,North Carolina,28605,"[-81.68783, 36.133083]",5.0,2.0,2.5,0.5
365,Blandford,https://www.skiresort.info/ski-resort/blandford/,45.0,Springfield,Massachusetts,01008,"[-72.94828, 42.174313]",5.0,2.0,2.0,1.0
366,Christie Mountain,https://www.skiresort.info/ski-resort/christie-mountain/,38.0,Rice Lake,Wisconsin,54819,"[-91.29437, 45.45273]",5.6,2.8,1.5,1.3
367,Ferguson Ridge,https://www.skiresort.info/ski-resort/ferguson-ridge/,20.0,Enterprise,Oregon,97846,"[-117.17791, 45.336407]",5.0,2.0,2.0,1.0
368,Hurricane Ridge,https://www.skiresort.info/ski-resort/hurricane-ridge/,40.0,Port Angeles,Washington State,98362,"[-123.40628, 48.097144]",5.0,2.0,2.0,1.0
369,Cuchara Mountain Park,https://www.skiresort.info/ski-resort/cuchara-mountain-park/,,,Colorado,81055,"[-105.02943, 37.499829]",6.0,2.0,3.0,1.0
371,Rotarun,https://www.skiresort.info/ski-resort/rotarun/,,Hailey,Idaho,83333,"[-114.31153, 43.527659]",4.6,1.1,2.0,1.5
373,Snowhaven,https://www.skiresort.info/ski-resort/snowhaven/,20.0,Grangeville,Idaho,83530,"[-116.13146, 45.923869]",3.0,1.5,1.5,0.0
374,Bradford,https://www.skiresort.info/ski-resort/bradford/,55.0,Boston,Massachusetts,01835,"[-71.08518, 42.757767]",4.0,1.5,1.5,1.0
375,Tyrol Basin – Mt Horeb,https://www.skiresort.info/ski-resort/tyrol-basin-mt-horeb/,48.0,Mount Horeb,Wisconsin,53572,"[-89.73647, 42.985255]",4.2,1.2,1.5,1.5
376,Mulligan's Hollow Ski Bowl,https://www.skiresort.info/ski-resort/mulligans-hollow-ski-bowl/,20.0,Grand Haven,Michigan,49417,"[-86.19013, 43.04117]",3.0,1.0,1.0,1.0
377,The Omni Homestead,https://www.skiresort.info/ski-resort/the-omni-homestead/,57.0,Hot Springs,Virginia,24445,"[-79.89283, 37.970734]",3.0,1.0,1.0,1.0
378,Holiday Mountain (NY),https://www.skiresort.info/ski-resort/holiday-mountain-ny/,42.0,Rock Hill,The Catskills,12701,"[-74.69748, 41.653071]",4.0,1.0,2.0,1.0
379,The Homestead Resort,https://www.skiresort.info/ski-resort/the-homestead-resort/,45.0,Glen Arbor,Michigan,49636,"[-85.98588, 44.884904]",4.0,1.0,2.0,1.0
380,Cazenovia,https://www.skiresort.info/ski-resort/cazenovia/,,Cazenovia,Central New York,13035,"[-75.83037, 42.938816]",2.3,0.6,0.7,1.0
381,Elk Ridge – Williams,https://www.skiresort.info/ski-resort/elk-ridge-williams/,40.0,Williams,Arizona,89131,"[-115.24685, 36.294596]",3.0,0.6,1.5,0.9
382,Tussey Mountain,https://www.skiresort.info/ski-resort/tussey-mountain/,52.0,Boalsburg,Pennsylvania,16827,"[-77.78689, 40.78267]",3.0,1.5,1.2,0.3
383,Blue Hills,https://www.skiresort.info/ski-resort/blue-hills/,45.0,Boston,Massachusetts,02021,"[-71.1343, 42.166776]",3.0,1.5,1.0,0.5
384,Winter Park – Kewaunee County,https://www.skiresort.info/ski-resort/winter-park-kewaunee-county/,15.0,Birchwood,Wisconsin,54216,"[-87.54429, 44.456022]",1.1,0.5,0.5,0.1
385,Thunder Ridge,https://www.skiresort.info/ski-resort/thunder-ridge/,57.0,Patterson,Hudson Valley,12563,"[-73.57293, 41.483689]",4.2,1.8,1.0,1.4
386,Timber Ridge,https://www.skiresort.info/ski-resort/timber-ridge/,45.0,Gobles,Michigan,49055,"[-85.85725, 42.37346]",3.2,1.2,1.6,0.4
387,Mont du Lac,https://www.skiresort.info/ski-resort/mont-du-lac/,39.99,Superior,Wisconsin,54880,"[-92.09474, 46.684273]",3.9,0.5,1.4,2.0
388,Huff Hills,https://www.skiresort.info/ski-resort/huff-hills/,35.0,Mandan,North Dakota,58554,"[-100.90891, 46.812148]",3.0,1.8,0.8,0.4
389,Woods Valley,https://www.skiresort.info/ski-resort/woods-valley/,43.0,Westernville,Central New York,13486,"[-75.35861, 43.338878]",4.0,2.0,1.5,0.5
391,Skyline – Friendship,https://www.skiresort.info/ski-resort/skyline-friendship/,,Friendship,Wisconsin,53934,"[-89.85287, 43.967604]",1.7,1.0,0.4,0.3
392,Sundown Mountain Resort,https://www.skiresort.info/ski-resort/sundown-mountain-resort/,46.0,Dubuque,Iowa,52002,"[-90.75329, 42.50963]",3.2,1.3,1.6,0.3
393,Lyndon Outing Club,https://www.skiresort.info/ski-resort/lyndon-outing-club/,15.0,Lyndon,Vermont,05851,"[-72.02686, 44.541352]",2.6,1.5,1.0,0.1
394,Andes Tower Hills,https://www.skiresort.info/ski-resort/andes-tower-hills/,45.0,Alexandria,Minnesota,56343-8176,"[-95.66742, 45.795887]",4.0,2.2,1.6,0.2
395,Ascutney Mountain,https://www.skiresort.info/ski-resort/ascutney-mountain/,,,Vermont,05037,"[-72.48743, 43.461467999999996]",1.8,1.2,0.6,0.0
396,Storrs Hill – Lebanon,https://www.skiresort.info/ski-resort/storrs-hill-lebanon/,15.0,Lebanon,New Hampshire,03766,"[-72.24403, 43.642945]",1.0,0.7,0.3,0.0
397,Lake City Ski Hill,https://www.skiresort.info/ski-resort/lake-city-ski-hill/,15.0,Lake City,Colorado,81235,"[-107.29953, 37.961233]",1.0,0.7,0.3,0.0
398,Whitetail Ridge – Fort McCoy,https://www.skiresort.info/ski-resort/whitetail-ridge-fort-mccoy/,27.0,Fort McCoy,Wisconsin,54656,"[-90.80796, 43.96977]",1.2,0.7,0.5,0.0
399,Granlibakken,https://www.skiresort.info/ski-resort/granlibakken/,40.0,Granlibakken,Lake Tahoe,96145,"[-120.14607, 39.177383]",2.0,1.0,1.0,0.0
400,Big Boulder,https://www.skiresort.info/ski-resort/big-boulder/,65.0,Allentown,Pennsylvania,18610,"[-75.53909, 41.057574]",4.0,3.0,1.0,0.0
401,Bruce Mound,https://www.skiresort.info/ski-resort/bruce-mound/,31.0,Black River Falls,Wisconsin,54754,"[-90.79473, 44.434537]",2.0,1.0,0.5,0.5
402,Boston Mills,https://www.skiresort.info/ski-resort/boston-mills/,44.0,Cleveland,Ohio,44264,"[-81.55114, 41.234388]",1.5,0.5,0.5,0.5
403,Cannonsburg Ski Area,https://www.skiresort.info/ski-resort/cannonsburg-ski-area/,39.0,Grand Rapids,Michigan,49317,"[-85.480856, 43.071201]",2.0,0.5,1.0,0.5
404,Echo Valley – Lake Chelan,https://www.skiresort.info/ski-resort/echo-valley-lake-chelan/,30.0,Chelan,Washington State,98816,"[-120.08379, 47.880774]",2.4,0.2,1.2,1.0
405,Veterans Memorial – Franklin,https://www.skiresort.info/ski-resort/veterans-memorial-franklin/,,Franklin,New Hampshire,03235,"[-71.66034, 43.444456]",1.0,0.6,0.4,0.0
406,Camp 10,https://www.skiresort.info/ski-resort/camp-10/,34.0,Rhinelander,Wisconsin,54501,"[-89.39408, 45.64672]",1.5,0.3,0.7,0.5
407,Coffee Mill Ski Area,https://www.skiresort.info/ski-resort/coffee-mill-ski-area/,37.0,Wabasha,Minnesota,55981,"[-92.04204, 44.374261]",2.0,1.0,0.6,0.4
408,Swiss Valley,https://www.skiresort.info/ski-resort/swiss-valley/,42.0,Jones,Michigan,49061,"[-85.81527, 41.878312]",1.8,0.4,1.1,0.3
409,Buena Vista,https://www.skiresort.info/ski-resort/buena-vista/,44.0,Bemidji,Minnesota,56601,"[-94.87105, 47.504496]",1.7,0.4,0.8,0.5
410,Crescent Hills,https://www.skiresort.info/ski-resort/crescent-hills/,39.0,Omaha,Iowa,51542,"[-95.84004, 41.427994]",2.0,0.8,0.8,0.4
411,Grand Geneva,https://www.skiresort.info/ski-resort/grand-geneva/,55.0,Lake Geneva,Wisconsin,53147,"[-88.45828, 42.587613]",1.8,1.2,0.4,0.2
412,Brandywine,https://www.skiresort.info/ski-resort/brandywine/,44.0,Cleveland,Ohio,44264,"[-81.55114, 41.234388]",2.0,1.0,0.7,0.3
413,Beartown,https://www.skiresort.info/ski-resort/beartown/,22.0,West Chazy,The Adirondacks,12901,"[-73.46617, 44.693271]",0.8,0.5,0.3,0.0
414,Spruce Mountain – Jay,https://www.skiresort.info/ski-resort/spruce-mountain-jay/,25.0,Livermore Falls,Maine,04239,"[-70.21933, 44.516475]",2.4,0.6,1.4,0.4
415,Dry Hill,https://www.skiresort.info/ski-resort/dry-hill/,40.0,Watertown,Thousand Islands-Seaway,13601,"[-75.91199, 43.976735]",2.4,0.7,1.2,0.5
416,Polar Peak,https://www.skiresort.info/ski-resort/polar-peak/,,Ancram,Hudson Valley,12502,"[-73.6642, 42.086628]",1.9,1.0,0.5,0.4
417,The Ridge – Le Roy,https://www.skiresort.info/ski-resort/the-ridge-le-roy/,,,Greater Niagara,14482,"[-77.97053, 42.979887]",0.7,0.4,0.3,0.0
418,Indian Lake,https://www.skiresort.info/ski-resort/indian-lake/,,Indian Lake,The Adirondacks,12842,"[-74.26631, 43.761451]",0.9,0.6,0.3,0.0
419,Maple Ski Ridge,https://www.skiresort.info/ski-resort/maple-ski-ridge/,,Rotterdam,Capital-Saratoga Region,12306,"[-73.98942, 42.793326]",1.4,0.3,0.8,0.3
420,Red Hill – Moultonborough,https://www.skiresort.info/ski-resort/red-hill-moultonborough/,,Moultonborough,New Hampshire,03254,"[-71.39299, 43.712184]",1.0,0.4,0.4,0.2
421,Fox Hill,https://www.skiresort.info/ski-resort/fox-hill/,,West Bend,Wisconsin,53095,"[-88.18026, 43.40328]",1.0,0.5,0.3,0.2
423,Buckhorn Ski and Snowboard Club,https://www.skiresort.info/ski-resort/buckhorn-ski-and-snowboard-club/,,La Cañada Flintridge,California,92626,"[-117.90863, 33.677224]",1.2,0.2,0.6,0.4
424,Northeast Slopes – East Corinth,https://www.skiresort.info/ski-resort/northeast-slopes-east-corinth/,15.0,East Corinth,Vermont,05040,"[-72.21275, 44.070771]",2.2,1.2,1.0,0.0
425,Little Ski Hill,https://www.skiresort.info/ski-resort/little-ski-hill/,15.0,McCall,Idaho,83638,"[-116.04991, 44.854428]",1.4,1.4,0.0,0.0
426,Cochran Ski Area,https://www.skiresort.info/ski-resort/cochran-ski-area/,25.0,Burlington,Vermont,05477,"[-72.95936, 44.392443]",1.2,0.6,0.5,0.1
427,Mt. Pisgah,https://www.skiresort.info/ski-resort/mt-pisgah/,25.0,Saranac Lake,The Adirondacks,12983,"[-74.16843, 44.324736]",1.0,1.0,0.0,0.0
428,Missaukee Mountain,https://www.skiresort.info/ski-resort/missaukee-mountain/,,,Michigan,49651,"[-85.14305, 44.382889]",1.3,0.7,0.5,0.1
429,Pinnacle Park – Pittsfield,https://www.skiresort.info/ski-resort/pinnacle-park-pittsfield/,,Pittsfield,Maine,04967,"[-69.40616, 44.774328]",0.7,0.3,0.2,0.2
431,Quoggy Jo Ski Center – Presque Isle,https://www.skiresort.info/ski-resort/quoggy-jo-ski-center-presque-isle/,8.0,Presque Isle,Maine,04769,"[-68.00216, 46.679321]",0.8,0.8,0.0,0.0
432,Badger Mountain,https://www.skiresort.info/ski-resort/badger-mountain/,10.0,Wenatchee,Washington State,98858,"[-119.90423, 47.63205]",2.5,2.0,0.5,0.0
433,Brantling Ski Slopes,https://www.skiresort.info/ski-resort/brantling-ski-slopes/,32.0,Rochester,Finger Lakes,14551,"[-77.03599, 43.226024]",1.0,0.7,0.3,0.0
434,Eaton Mountain,https://www.skiresort.info/ski-resort/eaton-mountain/,15.0,Skowhegan,Maine,04976,"[-69.69212, 44.782568]",2.0,1.5,0.5,0.0
435,Pando Park  (temporarily closed),https://www.skiresort.info/ski-resort/pando-park/,22.0,Rockford,Michigan,49341,"[-85.5189, 43.117214]",1.3,1.0,0.3,0.0
436,Hillberg Ski Area,https://www.skiresort.info/ski-resort/hillberg-ski-area/,20.0,Anchorage,Alaska,99506,"[-149.77461, 61.224384]",1.2,0.9,0.3,0.0
437,Kettlebowl,https://www.skiresort.info/ski-resort/kettlebowl/,5.0,Bryant,Wisconsin,54418,"[-88.96427, 45.221567]",1.4,0.3,1.1,0.0
438,Hanson Hills,https://www.skiresort.info/ski-resort/hanson-hills/,25.0,Grayling,Michigan,49738,"[-84.6253, 44.683274]",1.0,0.8,0.2,0.0
439,Living Memorial Park – Brattleboro,https://www.skiresort.info/ski-resort/living-memorial-park-brattleboro/,5.0,Brattleboro,Vermont,05301,"[-72.62328, 42.849957]",0.5,0.5,0.0,0.0
440,Alta Sierra – Shirley Meadows,https://www.skiresort.info/ski-resort/alta-sierra-shirley-meadows/,50.0,Bakersfield,California,93285,"[-118.48416, 35.714118]",1.5,1.3,0.2,0.0
441,Meany Lodge,https://www.skiresort.info/ski-resort/meany-lodge/,,Easton,Washington State,98925,"[-121.24849, 47.3042]",2.0,1.0,1.0,0.0
442,Sahalie Ski Club,https://www.skiresort.info/ski-resort/sahalie-ski-club/,,North Bend,Washington State,98068,"[-121.39603, 47.397811]",1.5,1.0,0.5,0.0
443,Fort Wainwright/​Birch Hill – Fairbanks,https://www.skiresort.info/ski-resort/fort-wainwrightbirch-hill-fairbanks/,,Fairbanks,Alaska,99703,"[-147.6265, 64.827164]",1.8,1.5,0.3,0.0
445,Mt. Eustis – Littleton  (temporarily closed),https://www.skiresort.info/ski-resort/mt-eustis-littleton/,,,New Hampshire,03561,"[-71.79751, 44.313606]",1.2,0.5,0.7,0.0
446,Challenge Mountain – Walloon Lake,https://www.skiresort.info/ski-resort/challenge-mountain-walloon-lake/,,Walloon Lake,Michigan,49712,"[-85.00995, 45.215511]",1.2,0.9,0.3,0.0
447,Mount Prospect – Lancaster,https://www.skiresort.info/ski-resort/mount-prospect-lancaster/,,Lancaster,New Hampshire,03584,"[-71.54999, 44.483756]",0.8,0.5,0.3,0.0
448,Triangle Sports Area – Green Bay,https://www.skiresort.info/ski-resort/triangle-sports-area-green-bay/,,Green Bay,Wisconsin,54302,"[-87.97947, 44.505781999999996]",0.6,0.5,0.1,0.0
449,Blackhawk Ski Club – Middleton,https://www.skiresort.info/ski-resort/blackhawk-ski-club-middleton/,,Middleton,Wisconsin,53562,"[-89.51106, 43.103711]",0.8,0.6,0.2,0.0
450,Powers Bluff,https://www.skiresort.info/ski-resort/powers-bluff/,10.0,Arpin,Wisconsin,54410,"[-90.04317, 44.536298]",1.0,1.0,0.0,0.0
451,Boyce Park,https://www.skiresort.info/ski-resort/boyce-park/,28.0,Pittsburgh,Pennsylvania,15239,"[-79.74278, 40.482655]",1.0,1.0,0.0,0.0
452,Four Lakes,https://www.skiresort.info/ski-resort/four-lakes/,28.0,Lisle,Illinois,60532,"[-88.08536, 41.789079]",1.0,1.0,0.0,0.0
453,The Rock Snow Park,https://www.skiresort.info/ski-resort/the-rock-snow-park/,40.0,Milwaukee,Wisconsin,53132,"[-88.00891, 42.896145]",1.0,1.0,0.0,0.0
454,Leavenworth Ski Hill,https://www.skiresort.info/ski-resort/leavenworth-ski-hill/,19.0,Leavenworth,Washington State,98826,"[-120.73874, 47.728186]",1.0,1.0,0.0,0.0
455,Villa Roma,https://www.skiresort.info/ski-resort/villa-roma/,,Callicoon,The Catskills,12723,"[-75.02808, 41.769427]",1.7,1.7,0.0,0.0
456,Big Creek Ski Area,https://www.skiresort.info/ski-resort/big-creek-ski-area/,,Cleveland,Ohio,44024,"[-81.19473, 41.574171]",1.0,1.0,0.0,0.0
457,Standing Rocks,https://www.skiresort.info/ski-resort/standing-rocks/,16.0,Stevens Point,Wisconsin,54481,"[-89.55621, 44.524054]",0.9,0.9,0.0,0.0
458,Four Seasons,https://www.skiresort.info/ski-resort/four-seasons/,24.0,Fayetteville,Finger Lakes,13066-9619,"[-76.00876, 43.028516]",0.5,0.4,0.1,0.0
459,Cloudmont Ski Resort,https://www.skiresort.info/ski-resort/cloudmont-ski-resort/,40.0,Fort Payne,Alabama,35984,"[-85.5751, 34.557735]",0.6,0.6,0.0,0.0
460,Adventure Mountain – Greenland,https://www.skiresort.info/ski-resort/adventure-mountain-greenland/,,Greenland,Michigan,49929,"[-89.09762, 46.780926]",0.5,0.2,0.3,0.0
461,Gladstone Sports Park,https://www.skiresort.info/ski-resort/gladstone-sports-park/,,Gladstone,Michigan,49837,"[-87.04529, 45.847136]",0.5,0.4,0.1,0.0
464,Ruby Mountain,https://www.skiresort.info/ski-resort/ruby-mountain/,,Lamoille,,89828,"[-115.44828, 40.79727]",,,,
465,North Cascade Heliskiing – Mazama,https://www.skiresort.info/ski-resort/north-cascade-heliskiing-mazama/,,Mazama,,98833,"[-120.47681, 48.634796]",,,,
466,Powderhouse Hill – South Berwick,https://www.skiresort.info/ski-resort/powderhouse-hill-south-berwick/,5.0,South Berwick,Maine,03908,"[-70.77876, 43.234782]",0.5,0.5,0.0,0.0
467,Keyes Peak – Florence,https://www.skiresort.info/ski-resort/keyes-peak-florence/,12.0,Florence,Wisconsin,54121-8907,"[-88.27342, 45.873589]",0.5,0.5,0.0,0.0
468,Salmonberry – Valdez,https://www.skiresort.info/ski-resort/salmonberry-valdez/,,Valdez,Alaska,99686,"[-146.2357, 61.128176]",0.4,0.4,0.0,0.0
469,Rocking Horse Ranch,https://www.skiresort.info/ski-resort/rocking-horse-ranch/,,Highland,The Catskills,12528,"[-73.9965, 41.713682]",0.3,0.3,0.0,0.0
470,Great Northern Powder Guides,https://www.skiresort.info/ski-resort/great-northern-powder-guides/,,Whitefish, read more,59927,"[-114.70843, 48.595224]",,,,
471,Cascade Powder Guides,https://www.skiresort.info/ski-resort/cascade-powder-guides/,,,,98826,"[-120.73874, 47.728186]",,,,
472,Petoskey Winter Sports Park,https://www.skiresort.info/ski-resort/petoskey-winter-sports-park/,,Petoskey,Michigan,49770,"[-84.93774, 45.360111]",0.2,0.2,0.0,0.0
473,Cottonwood Butte,https://www.skiresort.info/ski-resort/cottonwood-butte/,20.0,Cottonwood,Idaho,83522,"[-116.38568, 46.041157]",,,,
474,Nutt Hill – Plymouth,https://www.skiresort.info/ski-resort/nutt-hill-plymouth/,,Plymouth,Wisconsin,53073,"[-87.98005, 43.758674]",0.2,0.2,0.0,0.0
475,Winterplace,https://www.skiresort.info/ski-resort/winterplace/,54.0,Ghent,West Virginia,25843,"[-81.10724, 37.618115]",,,,
476,Texas Ski Ranch – New Braunfels (dry slopes),https://www.skiresort.info/ski-resort/texas-ski-ranch-new-braunfels/,27.0,New Braunfels,Texas,78130,"[-98.10754, 29.699844]",0.1,0.1,0.0,0.0
477,Dynamite Hill – Chestertown,https://www.skiresort.info/ski-resort/dynamite-hill-chestertown/,,Chestertown,The Adirondacks,12817,"[-73.81782, 43.638919]",0.2,0.2,0.0,0.0
478,Cockaigne Resort,https://www.skiresort.info/ski-resort/cockaigne-resort/,38.0,,Chautauqua-Allegheny,14723,"[-79.1364, 42.316386]",,,,
479,Bittersweet,https://www.skiresort.info/ski-resort/bittersweet/,48.0,Kalamazoo,Michigan,49078,"[-85.71069, 42.459989]",,,,
480,Eagle Rock,https://www.skiresort.info/ski-resort/eagle-rock/,,Hazleton,Pennsylvania,18202,"[-75.990392, 40.969691]",,,,
481,Snöbahn – Centennial,https://www.skiresort.info/ski-resort/snoebahn-centennial/,,Centennial,Colorado,80122,"[-104.95834, 39.582604]",0.1,0.1,0.0,0.0
483,Sky Tavern,https://www.skiresort.info/ski-resort/sky-tavern/,,Reno,Nevada,89511,"[-119.7606, 39.403178]",,,,
486,Mt. Bailey,https://www.skiresort.info/ski-resort/mt-bailey/,385.0,,,97731,"[-121.88616, 43.189824]",,,,
487,Inside Ski Training Center – Leesburg (dry slopes),https://www.skiresort.info/ski-resort/inside-ski-training-center-leesburg/,,Leesburg,Virginia,20175,"[-77.58025, 39.080037]",0.1,0.1,0.0,0.0
488,Eagle Island Park,https://www.skiresort.info/ski-resort/eagle-island-park/,,Eagle,Idaho,83616,"[-116.36346, 43.705551]",0.1,0.1,0.0,0.0
